name,5k,10k,20k,half,25k,30k,35k,40k,official,pace,rank_overall,rank_in_gender_only,rank_in_division,age,gender,country,state,city,bib
"Mesina, Omar",23.38,46.42,93.07,98.13,116.65,142.8,172.4,203.37,216.35,8.27,11247,8194,3549,22,M,USA,MA,Cambridge,31902
"Lively, Nancy B.",33.32,67.15,135.97,143.1,171.88,211.82,252.8,295.32,314.32,12.0,28433,12476,2063,48,F,USA,MA,Wilmington,31903
"Saunders, Alexander J.",26.95,52.33,104.33,109.85,129.83,158.53,187.87,220.7,235.0,8.97,16717,10567,3951,27,M,USA,MA,Boston,31906
"Cormier, Kelly A.",35.28,70.42,143.68,151.67,183.53,229.75,278.28,329.28,346.3,13.22,30439,13519,6572,36,F,USA,MA,Dracut,31907
"Wayman, John T. Jr.",30.33,62.63,134.07,141.37,169.02,211.12,251.75,290.85,310.58,11.85,28137,15800,2414,40,M,USA,MA,Boston,31908
"Rodgers, Craig F.",26.55,54.6,108.23,114.4,136.27,165.12,202.38,248.12,264.27,10.08,22534,13127,2345,47,M,USA,MA,Cambridge,31909
"Soleau, Dan",29.58,58.63,121.17,127.97,154.67,188.93,225.83,261.77,276.37,10.55,24334,13959,4756,37,M,USA,MA,Jamaica Plain,31910
"Basu, Neha",29.97,63.38,143.58,151.07,187.08,232.92,278.43,318.57,335.53,12.8,29847,13207,6406,22,F,USA,MA,Westwood,31911
"Brewer, Raymond L.",30.08,63.07,128.6,135.63,163.13,201.05,240.2,280.05,297.6,11.37,26999,15241,1539,57,M,USA,TX,San Antonio,31912
"Corcoran, Brian A.",21.08,40.9,84.32,89.2,108.22,135.88,177.68,211.92,224.93,8.58,13883,9374,1771,45,M,USA,ME,Portland,31913
"Pedigo, Lauren",28.3,55.63,109.88,115.98,140.13,172.95,209.57,247.18,259.77,9.92,21835,9035,4544,23,F,USA,MA,Somerville,31914
"Bender, Timothy M.",28.9,56.98,112.88,119.15,141.95,174.62,211.65,246.95,262.48,10.02,22263,13010,1919,53,M,USA,CA,Danville,31915
"Marion, Julia S.",25.65,50.63,101.33,106.88,127.28,155.7,186.43,215.77,228.98,8.75,15020,5171,3214,28,F,USA,MA,Somerville,31916
"Riggs, Carolyn E.",28.4,56.72,114.73,120.82,147.57,179.62,215.22,250.58,264.2,10.08,22521,9403,4684,30,F,USA,MA,Charlestown,31917
"Leary, Jennifer M.",28.55,57.38,118.5,125.22,150.42,192.48,237.23,277.82,293.47,11.2,26514,11522,5562,38,F,USA,CA,San Francisco,31918
"Riehl, Peter W.",21.68,43.25,88.98,93.8,111.62,135.55,160.07,185.45,196.6,7.5,5607,4919,676,46,M,USA,MA,Brookline,31919
"Chang, Wendy",29.92,59.12,116.65,122.97,146.18,178.55,214.23,249.77,264.3,10.08,22546,9414,1651,43,F,USA,MA,Boston,31920
"Calley, Brian N.",29.42,57.15,116.02,122.75,147.33,184.55,221.23,259.58,274.88,10.5,24139,13868,4725,37,M,USA,MI,Portland,31921
"Minahan, Michael J.",25.4,50.32,98.97,104.13,122.8,147.45,172.42,196.13,206.27,7.88,8150,6566,3205,36,M,USA,MA,Brookline,31922
"Maud, Alexander J.",30.52,59.68,120.28,127.15,155.7,193.1,233.83,274.87,291.97,11.15,26345,14914,5043,30,M,USA,CA,West Hollywood,31923
"Goodman, Abigail R.",29.35,58.82,118.57,125.1,150.3,184.4,219.98,254.92,269.28,10.28,23341,9836,4843,37,F,USA,MA,Newton,31924
"Cronin, Doreen M.",32.72,65.1,134.08,141.18,167.52,202.22,236.15,268.38,282.65,10.78,25183,10834,1833,46,F,USA,MA,Tewksbury,31925
"McCarron, Bob",29.85,58.85,115.97,122.1,143.88,173.07,203.27,232.95,246.35,9.4,19378,11700,2153,47,M,USA,PA,Avondale,31926
"Knight-Gibbons, Tammy M.",31.15,63.18,135.33,142.82,175.22,219.28,261.22,304.47,326.62,12.47,29298,12928,2125,46,F,USA,MA,East Falmouth,31927
